meNOG	ENOG410VUKR	2	2	S	Sushi domain (SCR repeat)
meNOG	ENOG410VA9E	109	55	Z	palladin, cytoskeletal associated protein
meNOG	ENOG410VA9G	50	49	K	fos-like antigen 2
meNOG	ENOG410VA9A	88	83	T	Guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1
meNOG	ENOG410VA9I	168	87	K	hepatocyte nuclear factor 4
meNOG	ENOG410VA9J	51	49	K	Homeobox D12
meNOG	ENOG410VA9U	77	74	B	transcriptional adaptor 2A
meNOG	ENOG410VA9V	52	48	E	Spermidine spermine N1-acetyltransferase 1
meNOG	ENOG410VA9Q	84	78	O	glycosylphosphatidylinositol anchor attachment protein 1 homolog (yeast)
meNOG	ENOG410W4DS	5	5	S	NA
meNOG	ENOG410W5E1	6	5	T	C2
meNOG	ENOG410W5E6	4	4	Z	CH
meNOG	ENOG410WEIM	2	2	S	NA
meNOG	ENOG410WEIC	2	2	O	heparan sulfate (glucosamine) 3-O-sulfotransferase 1-like
meNOG	ENOG410WEIV	5	5	S	NA
meNOG	ENOG410WEIS	3	3	S	NA
meNOG	ENOG410WEI7	2	2	S	NA
meNOG	ENOG410WEI4	2	2	S	NA
meNOG	ENOG410WEI5	4	4	S	NA
meNOG	ENOG410VQNP	7	7	T	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A
meNOG	ENOG410VQNQ	9	8	K	Zinc finger protein 83 isoform
meNOG	ENOG410VQNR	2	2	G	Sugar (and other) transporter
meNOG	ENOG410VQNS	2	2	S	Scavenger receptor cysteine-rich domain
meNOG	ENOG410VQNT	2	2	S	NA
meNOG	ENOG410VQNU	4	4	K	ZnF_C2H2
meNOG	ENOG410VQNV	2	2	K	ZnF_C2H2
meNOG	ENOG410VQNX	3	3	P	Sulfatase
meNOG	ENOG410VQNY	2	2	Z	Pfam:Misat_Myo_SegII
meNOG	ENOG410VQNZ	2	2	S	C2 domain
meNOG	ENOG410VQNA	6	2	T	vomeronasal type-2 receptor 26-like
meNOG	ENOG410VQNB	2	2	S	NA
meNOG	ENOG410VQNC	2	2	C	Inherit from opiNOG: NADH dehydrogenase
meNOG	ENOG410VQND	17	4	S	7 transmembrane receptor (rhodopsin family)
meNOG	ENOG410VQNE	2	2	S	Inherit from KOG: prostaglandin G H synthase and cyclooxygenase
meNOG	ENOG410VQNF	2	2	VW	VWC_def
meNOG	ENOG410VQNH	2	2	Q	Organic Anion Transporter Polypeptide (OATP) family
meNOG	ENOG410VQNI	7	6	T	Sterol-sensing domain of SREBP cleavage-activation
meNOG	ENOG410VQNJ	14	6	S	Odorant receptor
meNOG	ENOG410VQNK	2	2	S	Membrane-associated apoptosis protein
meNOG	ENOG410VQNM	3	2	T	Vomeronasal organ pheromone receptor family, V1R
meNOG	ENOG410VQNN	3	3	TZ	FH2
meNOG	ENOG410VQN0	19	6	T	protein tyrosine kinase activity
meNOG	ENOG410VQN1	2	2	S	NA
meNOG	ENOG410VQN2	5	4	I	Lipase (class 3)
meNOG	ENOG410VQN3	2	2	T	von Willebrand factor type A domain
meNOG	ENOG410VQN4	3	3	T	7 transmembrane receptor (rhodopsin family)
meNOG	ENOG410VA95	52	48	T	calcyphosine 2
meNOG	ENOG410VQN6	7	6	T	serine threonine-protein phosphatase
meNOG	ENOG410VQN7	3	3	T	insulin-like growth factor binding protein 2, 36kDa
meNOG	ENOG410VQN8	7	7	I	Carboxylesterase family
meNOG	ENOG410VQN9	4	4	S	NA
meNOG	ENOG410VA93	4	4	K	NeuroGeNin
meNOG	ENOG410W5EY	2	2	TW	FBOX
meNOG	ENOG410W57I	5	2	C	Inherit from KOG: Involved in oxygen transport from the lung to the various peripheral tissues
meNOG	ENOG410WAWD	7	7	S	7tm Odorant receptor
meNOG	ENOG410WAWE	7	7	S	NA
meNOG	ENOG410WAWF	6	6	S	NA
meNOG	ENOG410WAWG	6	5	U	Essential component of the TIM23 complex, a complex that mediates the translocation of transit peptide-containing proteins across the mitochondrial inner membrane (By similarity)
meNOG	ENOG410WAWA	6	6	S	NA
meNOG	ENOG410WAWB	7	7	T	EGF
meNOG	ENOG410WAWC	6	6	G	UDP-glucoronosyl and UDP-glucosyl transferase
meNOG	ENOG410WAWM	8	7	S	Tetraspanin family
meNOG	ENOG410WAWN	7	7	O	Eukaryotic aspartyl protease
meNOG	ENOG410WAWH	5	5	S	NA
meNOG	ENOG410WAWI	5	5	S	NA
meNOG	ENOG410WAWJ	7	7	C	FAD binding domain
